COMPANY,TITLE,LOCATION,IS_ACTIVE,REPOST_COUNT,DAYS_SPAN,GHOST_SUSPECTED
Openkyber,Log Analytics Engineer,"Alaska, US",TRUE,12,0,TRUE
Naval Sea Systems Command,ENGINEER/SCIENTIST,"Dahlgren, Virginia",TRUE,6,0,TRUE
Executive Office for U.S. Attorneys and the Office of the U.S. Attorneys,Investigative Analyst,"Concord, New Hampshire",TRUE,3,0,TRUE
"Talent Software Services, Inc",DATA ENGINEER,US,TRUE,2,0,TRUE
Defense Finance and Accounting Service,FINANCIAL MANAGEMENT ANALYST,Multiple Locations,TRUE,2,0,TRUE
Department of the Air Force - Agency Wide,INTELLIGENCE SPECIALIST,"Quantico, Virginia",TRUE,1,0,FALSE
Concept Plus,BI Analyst,"Dayton, Montgomery County",TRUE,1,0,FALSE
Eliassen Group,Analytics Engineer,"Grand Central, Manhattan",TRUE,1,0,FALSE
Federal Aviation Administration,Public Notice for General Engineer (Direct Hire),May be filled in various FAA duty locations,TRUE,1,0,FALSE
Robert Half,Business Intelligence (BI) Engineer,"Santa Ana, Orange County",TRUE,1,0,FALSE
Railroad Retirement Board,Azure Architect,Multiple Locations,TRUE,1,0,FALSE
CVS Health,Data Engineer,"Grand Central, Manhattan",TRUE,1,0,FALSE
Air Force Services Agency,Contract Specialist (Senior),"Kelly AFB, Texas",TRUE,1,0,FALSE
Anduril Industries,Staff Analytics Engineer,"Costa Mesa, Orange County",TRUE,1,0,FALSE
Veterans Health Administration,Program Analyst (Informatics),"Saint Louis, Missouri",TRUE,1,0,FALSE
Office of the Director of National Intelligence,Fire Protection Engineer,"Bethesda, Maryland",TRUE,1,0,FALSE
Orion180 Insurance Services,Product Support Analyst,"Irving, Dallas",TRUE,1,0,FALSE
Department of Energy - Agency Wide,Management and Program Analyst,"Washington, District of Columbia",TRUE,1,0,FALSE
Social Security Administration,Business Intelligence Platform Developer,"Woodlawn, Maryland",TRUE,1,0,FALSE
Air National Guard Units,FINANCIAL MANAGEMENT ANALYST (TITLE 32),"Jacksonville, Florida",TRUE,1,0,FALSE
Leidos,Senior Data Analyst,"Odenton, Anne Arundel County",TRUE,1,0,FALSE
Northwell Health,Senior Epic Cadence Analyst (Senior Product Services & Management Analyst),"Melville, Suffolk County",TRUE,1,0,FALSE
Veterans Health Administration,Program Analyst,Multiple Locations,TRUE,1,0,FALSE
"Innova Solutions, Inc",Data Engineer,US,TRUE,1,0,FALSE
Wellington Management,Product Reporting Analyst,"Boston, Suffolk County",TRUE,1,0,FALSE
